COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;Especialidad;FECHA DE INSCRIPCION
UR000987;Tabla Tomasa;Restaurantes;Sin definir;Virgen del Puy 4 bajo;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Internacional;10/03/2010 0:00:00
UR000151;Tallunce;Restaurantes;Segunda/2 Tenedores;Campus Universitario  (Comedor 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;15/06/2004 0:00:00
ur000742;Talluntxe;Restaurantes;Sin definir;M 30;NOÁIN;NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ;Cuenca de Pamplona;Casera o regional;28/12/1995 0:00:00
ur000450;Tapia;Restaurantes;Sin definir;Bormapea 23;ISABA;ISABA <> IZABA                                                                                      ;Pirineos;Casera o regional;21/01/1988 0:00:00
UR000803;Tapica;Restaurantes;Segunda/2 Tenedores;de los Fueros 13;TUDELA;TUDELA                                                                                              ;La Ribera;Casera o regional;24/12/1997 0:00:00
UR000020;Telepizza;Restaurantes;Sin definir;Sancho el Fuerte 81;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Rápida;20/12/2000 0:00:00
UR000040;Telepizza;Restaurantes;Sin definir;Ororbia 6;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;07/03/2001 0:00:00
UR000837;Telepizza;Restaurantes;Sin definir;Bergamín 12;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Rápida;16/01/2000 0:00:00
UR000932;Telepizza;Restaurantes;Sin definir;Aranaz y Vides 5;TUDELA;TUDELA                                                                                              ;La Ribera;Rápida;22/11/2007 0:00:00
ur000239;Teresita;Restaurantes;Sin definir;Carretera 76;CARCASTILLO;CARCASTILLO                                                                                         ;La Ribera;;30/11/2004 0:00:00
UR000229;Tetxe;Restaurantes;Sin definir;Iriondoa 6;RONCAL;RONCAL <> ERRONKARI                                                                                 ;Pirineos;Casera o regional;25/05/1994 0:00:00
ur000069;Tío Tapas;Restaurantes;Sin definir;Avda Barañain s/n (Centro come 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;27/06/2001 0:00:00
uc000108;Tip-top;Cafeterías;Segunda/1 Taza;Av. de Zaragoza 17;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;12/08/1990 0:00:00
uc000109;Tip-top;Cafeterías;Segunda/1 Taza;Mº. de Azuelo 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;16/07/1990 0:00:00
uc000128;Tip-top;Cafeterías;Segunda/1 Taza;Tajonar, 6 -Ed.1 Fuerte Princi 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;02/09/1994 0:00:00
ur000908;Tokio;Restaurantes;Sin definir;Joaquín Maya 15;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Internacional;27/10/2006 0:00:00
ur000536;Tolo;Restaurantes;Sin definir;Lapurbide 10;ANSOAIN;ANSOÁIN                                                                                             ;Cuenca de Pamplona;Casera o regional;10/08/1988 0:00:00
uc000008;Toskana;Cafeterías;Segunda/1 Taza;de las Ventas 13;BURLADA;BURLADA <> BURLATA                                                                                  ;Cuenca de Pamplona;;10/10/2001 0:00:00
UC000014;Tres Reyes;Cafeterías;Primera/2 Tazas;Calle Taconera 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;10/12/1968 0:00:00
UR001078;Tres Reyes;Restaurantes;Lujo/ 4 Tenedores;Jardines de la Taconera s/n 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;02/02/2015 0:00:00
UR000921;Trinquete;Restaurantes;Lujo/ 4 Tenedores;Trinquete 1 bis;TUDELA;TUDELA                                                                                              ;La Ribera;Casera o regional, Vegetariana;14/05/2007 0:00:00
UR000076;Túbal;Restaurantes;Segunda/2 Tenedores;de Navarra 6;TAFALLA;TAFALLA                                                                                             ;Zona Media;;25/08/1967 0:00:00
UR000031;Tudela Bardenas;Restaurantes;Segunda/2 Tenedores;Zaragoza 60;TUDELA;TUDELA                                                                                              ;La Ribera;Casera o regional;27/12/2000 0:00:00
UR111019;Txalaparta;Restaurantes;Sin definir;San Julián 89;NAGORE;ARCE <> ARTZI                                                                                       ;Pirineos;Casera o regional;28/11/2011 0:00:00
uc000148;Txalupa III;Cafeterías;Segunda/1 Taza;Sarasate 3;TAFALLA;TAFALLA                                                                                             ;Zona Media;;07/08/1997 0:00:00
UR001056;Txapi-Txuri;Restaurantes;Segunda/2 Tenedores;Santa Ursula 63;MURILLO EL FRUTO;MURILLO EL FRUTO                                                                                    ;La Ribera;Casera o regional;06/05/2014 0:00:00
ur000496;Txiki Jai;Restaurantes;Sin definir;Esquiroz, 25 Trasera 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;22/02/1989 0:00:00
UR000426;Txikipolit;Restaurantes;Sin definir;Roncesvalles 42;AURITZ/BURGUETE;AURITZ/BURGUETE                                                                                     ;Pirineos;Casera o regional;23/05/1985 0:00:00
UR001110;Tximista;Restaurantes;Primera/3 tenedores;Zaldu 15;ESTELLA-LIZARRA;ESTELLA <> LIZARRA                                                                                  ;Zona Media;;17/11/2015 0:00:00
UR000953;Tximonena;Restaurantes;Sin definir;Herriko Enparantza 2;LAKUNTZA;LAKUNTZA                                                                                            ;Pirineos;Casera o regional;07/08/2008 0:00:00
UR000925;Txinparta;Restaurantes;Sin definir;Centro Com. La Morea, A-7 0;CORDOVILLA;GALAR                                                                                               ;Cuenca de Pamplona;Sidrería;24/08/2007 0:00:00
ur000430;Txistulari;Restaurantes;Sin definir;Irún, Km. 4 0;ARRE;EZCABARTE                                                                                           ;Cuenca de Pamplona;Casera o regional;20/11/1985 0:00:00
uc000116;Txoko-eder;Cafeterías;Segunda/1 Taza;Leandro Azcárate 5;HUARTE;HUARTE <> UHARTE                                                                                    ;Cuenca de Pamplona;;28/02/1992 0:00:00
ur000517;Txokoto;Restaurantes;Sin definir;Braulio Iriarte, nº 25 0;ELIZONDO;BAZTAN                                                                                              ;Pirineos;Casera o regional;07/03/1990 0:00:00
ur000406;Txomin;Restaurantes;Sin definir;Río 24;UHARTE-ARAKIL;UHARTE-ARAKIL                                                                                       ;Pirineos;Casera o regional;04/01/1985 0:00:00
UR000709;Udako Etxea;Restaurantes;Tercera/1 tenedor;Kaule. Monte Larun 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;Casera o regional;15/06/1994 0:00:00
ur000749;Ugarte;Restaurantes;Sin definir;Ansoain, 13-A 0;ANSOAIN;ANSOÁIN                                                                                             ;Cuenca de Pamplona;Casera o regional;29/05/1992 0:00:00
ur000073;Untzea;Restaurantes;Sin definir;Industrial de Aoiz 0 S/N;AOIZ;AOIZ <> AGOITZ                                                                                      ;Pirineos;Casera o regional;25/07/2001 0:00:00
ur000086;Urbasa;Restaurantes;Sin definir;Zugarreta 14;ETXARRI-ARANATZ;ETXARRI-ARANATZ                                                                                     ;Pirineos;Casera o regional;16/01/2002 0:00:00
ur000624;Urbasa;Restaurantes;Sin definir;Santa María 40;ZIORDIA;ZIORDIA                                                                                             ;Pirineos;Casera o regional;11/03/1991 0:00:00
UR001065;Urbasa;Restaurantes;Tercera/1 tenedor;Estella-Olazagutía, km 30 0;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;Casera o regional;07/11/2014 0:00:00
ur000134;Urdax;Restaurantes;Sin definir;Mº. de Urdax 45;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;26/09/1971 0:00:00
ur000703;Urederra;Restaurantes;Sin definir;La Fuente 15;BAQUEDANO;AMÉSCOA BAJA                                                                                        ;Pirineos;Casera o regional;21/03/1994 0:00:00
UR131042;Urtxola;Restaurantes;Sin definir;Benta Urtxola 0;AZPILKUETA;BAZTAN                                                                                              ;Pirineos;Casera o regional;18/06/2013 0:00:00
UR001079;Uxoa;Restaurantes;Segunda/2 Tenedores;Industrial 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;Casera o regional;02/02/2015 0:00:00
UR000986;Valcarce Ribaforada;Restaurantes;Sin definir;Autovía A-68 pk 105,600 0;RIBAFORADA;RIBAFORADA                                                                                          ;La Ribera;Casera o regional;08/02/2010 0:00:00
ur000831;Valle de Aranguren;Restaurantes;Sin definir;Polígono Mutilva Baja, C/ A 101;MUTILVA;ARANGUREN                                                                                           ;Cuenca de Pamplona;Casera o regional;15/10/1999 0:00:00
UR000644;Venecia;Restaurantes;Segunda/2 Tenedores;Diputación 70;AZAGRA;AZAGRA                                                                                              ;La Ribera;Casera o regional;22/05/1991 0:00:00
ur000552;Venta Berri;Restaurantes;Sin definir;Casa Venta Berri 0;ARANO;ARANO                                                                                               ;Pirineos;Casera o regional;21/01/1990 0:00:00
UR000037;Venta de Andrés;Restaurantes;Sin definir;Av. de Aróstegui 2 S/N;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;21/08/1968 0:00:00
ur000179;Venta de Arlas;Restaurantes;Sin definir;Ctra NA- 115, KM 18 0;PERALTA;PERALTA                                                                                             ;La Ribera;;26/07/2004 0:00:00
ur000420;Venta de Juan Pito;Restaurantes;Sin definir;Puerto de Belagua 0;ISABA;ISABA <> IZABA                                                                                      ;Pirineos;Casera o regional;15/07/1985 0:00:00
UR000196;Venta de Larrión;Restaurantes;Segunda/2 Tenedores;Urbasa 8;LARRIÓN;ALLÍN                                                                                               ;Zona Media;;14/10/1981 0:00:00
ur000088;Venta de Pagozelay;Restaurantes;Sin definir;Autovía A-15, km 34 0;GORRITI;LARRAUN                                                                                             ;Pirineos;Casera o regional;26/09/2001 0:00:00
ur000183;Venta Elizalde;Restaurantes;Sin definir;Ibardin 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;;22/07/1981 0:00:00
UR001061;Venta Inzola;Restaurantes;Tercera/1 tenedor;Xantelerreka 17;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;Casera o regional;12/08/2014 0:00:00
UR000947;Venta Landíbar;Restaurantes;Sin definir;Dantxarinea 0;URDAZUBI/URDAX;URDAZUBI/URDAX                                                                                      ;Pirineos;Casera o regional;14/05/2008 0:00:00
UR000732;Venta Muguiro;Restaurantes;Primera/3 tenedores;Autovia A-15 ( Salida 123) 0;MUGIRO;LARRAUN                                                                                             ;Pirineos;Casera o regional;28/12/1995 0:00:00
UR000050;Venta Paco;Restaurantes;Segunda/2 Tenedores;Dancharinea 0;URDAZUBI/URDAX;URDAZUBI/URDAX                                                                                      ;Pirineos;Casera o regional;08/12/1967 0:00:00
UC000182;Venta Pantxo;Cafeterías;Segunda/1 Taza;Landibar 0;URDAZUBI/URDAX;URDAZUBI/URDAX                                                                                      ;Pirineos;;21/12/2015 0:00:00
UR000367;Venta Patxi;Restaurantes;Tercera/1 tenedor;Dancharinea 0;URDAZUBI/URDAX;URDAZUBI/URDAX                                                                                      ;Pirineos;Casera o regional;17/01/1984 0:00:00
UR000946;Venta Peio;Restaurantes;Sin definir;Dantxarinea 0;URDAZUBI/URDAX;URDAZUBI/URDAX                                                                                      ;Pirineos;Casera o regional;14/05/2008 0:00:00
UR111014;Venta Peio;Restaurantes;Sin definir;Barrio de Ventas 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;Internacional;07/09/2011 0:00:00
uc000163;Via Veneto;Cafeterías;Segunda/1 Taza;Padre Barace 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;18/06/2004 0:00:00
ur000144;Victoria;Restaurantes;Sin definir;Pamplona-Zaragoza, km.30 0;PUEYO;PUEYO                                                                                               ;Zona Media;Casera o regional;19/04/1973 0:00:00
UR000757;Villa Marcilla;Restaurantes;Segunda/2 Tenedores;de la Estación 0 S/N;MARCILLA;MARCILLA                                                                                            ;La Ribera;Casera o regional, Casera o regional;06/03/1996 0:00:00
UR000235;Vista Alegre;Restaurantes;Tercera/1 tenedor;Vista Alegre 31;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;Casera o regional;22/07/1981 0:00:00
ur000712;Vizcay;Restaurantes;Sin definir;Zubiarte 27;HUARTE;HUARTE <> UHARTE                                                                                    ;Cuenca de Pamplona;Casera o regional;13/03/1995 0:00:00
UR080955;Wok;Restaurantes;Sin definir;Puente Miluce 4 bajo;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Internacional;07/08/2008 0:00:00
UR001034;Wok Iruña;Restaurantes;Segunda/2 Tenedores;Mutilva Baja C/B 2-4 0;MUTILVA;ARANGUREN                                                                                           ;Cuenca de Pamplona;Oriental;12/12/2012 0:00:00
UR001092;Xabier;Restaurantes;Segunda/2 Tenedores;Zona Turística s/n 0;JAVIER;JAVIER                                                                                              ;Zona Media;Casera o regional, Innovadora;24/07/2015 0:00:00
UR000375;Xaindu;Restaurantes;Sin definir;Pekotxeta 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;Internacional;04/04/2001 0:00:00
ur000387;Yamaguchy-2;Restaurantes;Sin definir;Confederación 0 S/N;YESA;YESA                                                                                                ;Zona Media;Casera o regional;16/07/1984 0:00:00
UR000206;Yanguas;Restaurantes;Segunda/2 Tenedores;Yanguas y Miranda 21;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;30/09/2004 0:00:00
UR000358;Yerri;Restaurantes;Segunda/2 Tenedores;Irún, km 8 0;ARRE;EZCABARTE                                                                                           ;Cuenca de Pamplona;Casera o regional;26/05/1983 0:00:00
UR001066;Yerri;Restaurantes;Segunda/2 Tenedores;Yerri 35;ESTELLA-LIZARRA;ESTELLA <> LIZARRA                                                                                  ;Zona Media;Casera o regional;07/11/2014 0:00:00
UR000859;Yon;Restaurantes;Segunda/2 Tenedores;Polígono Landaben C/D 0 S/N;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;28/01/2000 0:00:00
uc000039;Yuman;Cafeterías;Segunda/1 Taza;Merindades 16;CASTEJÓN;CASTEJÓN                                                                                            ;La Ribera;;28/02/1974 0:00:00
uc000114;Yuste;Cafeterías;Segunda/1 Taza;Serafín Olave 25;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;26/02/1992 0:00:00
UR000745;Zalain;Restaurantes;Sin definir;Zalain 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;Casera o regional;28/12/1995 0:00:00
UR000995;Zaldu;Restaurantes;Tercera/1 tenedor;Errotaldea 28;OROZ-BETELU;OROZ-BETELU                                                                                         ;Pirineos;Casera o regional;23/07/2010 0:00:00
uc000131;Zapata;Cafeterías;Segunda/1 Taza;Virgen del Puy 11;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;04/05/1995 0:00:00
UR000994;Zona Rocópolis;Restaurantes;Sin definir;Cañada Real 20;BERRIOPLANO;BERRIOPLANO                                                                                         ;Cuenca de Pamplona;Casera o regional;16/07/2010 0:00:00
