Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,URLIdRecursoCategoria,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,DescripZona,Path,ImgFichero,Tipo,ESTILO,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"3163","Iglesia del Santo Sepulcro","Iglesia del Santo Sepulcro","Patrimonio","","","4326","05020100","TORRES DEL RÍO","Zona Media","05\02\01\00\","3163FotoTH1.JPG","Iglesias y ermitas","Románico","","559815","4711333","NO"
"4484","Iglesia Santa María Jus del Castillo","Iglesia Santa María Jus del Castillo","Patrimonio","","","4344","05020100","ESTELLA-LIZARRA","Zona Media","05\02\01\00\","4484FotoTH1.jpg","Iglesias y ermitas","Románico","","580173","4725329","NO"
"4965","Iglesia-fortaleza de Santa María de Ujué","Iglesia-fortaleza de Santa María de Ujué","Patrimonio","","","4354","05020100","UJUÉ","Zona Media","05\02\01\00\","4965FotoTH1.JPG","Iglesias y ermitas","Gótico, Románico","","623242","4707071","NO"
"4620","La Valdorba y el románico","La Valdorba y el románico","Patrimonio","","","4347","05021600","","","05\02\12\00\","4620FotoTH1.jpg","Conjuntos históricos","Románico","","615519","4718525","NO"
"3056","Mausoleo Julián Gayarre","Mausoleo Julián Gayarre","Patrimonio","","","4278","05020900","RONCAL","Pirineos","05\02\09\00\","3056FotoTH1.jpg","Escultura","Moderno","","666813","4740840","NO"
"3389","Molino de Urdazubi/Urdax","Molino de Urdazubi/Urdax","Patrimonio","","","4339","05021700","URDAZUBI/URDAX","Pirineos","05\02\12\00\","3389FotoTH1.jpg","Molinos","","","621443","4791565","NO"
"3057","Molino de Zubieta","Molino de Zubieta","Patrimonio","","","4279","05021700","ZUBIETA","Pirineos","05\02\17\00\","3057FotoTH1.JPG","Molinos","","","602518","4775590","NO"
"3028","Monasterio de Fitero","Monasterio de Fitero","Patrimonio","","","4271","05020300","FITERO","La Ribera","05\02\03\00\","3028FotoTH10.JPG","Monasterios","Otros, Renacentista, Románico","","594564","4656685","NO"
"3150","Monasterio de Iratxe","Monasterio de Iratxe","Patrimonio","","","4313","05020300","AYEGUI","Zona Media","05\02\03\00\","3150FotoTH1.JPG","Monasterios","Barroco, Renacentista, Románico","","578397","4722408","NO"
"3029","Monasterio de La Oliva","Monasterio de La Oliva","Patrimonio","","","4272","05020300","CARCASTILLO","La Ribera","05\02\03\00\","3029FotoTH1.jpg","Monasterios","Gótico, Románico","","626239","4692213","NO"
"3152","Monasterio de San Salvador de Leyre","Monasterio de San Salvador de Leyre","Patrimonio","","","4315","05020300","YESA","Zona Media","05\02\03\00\","3152FotoTH1.jpg","Monasterios","Románico","","649907","4721970","NO"
"3151","Monasterio de Santa María de Irantzu","Monasterio de Santa María de Irantzu","Patrimonio","","","4314","05020300","ABÁRZUZA","Zona Media","05\02\03\00\","3151FotoTH2.jpg","Monasterios","Gótico, Románico","","578662","4733597","NO"
"6548","Monasterio de Urdax","Monasterio de Urdax","Patrimonio","","","6429","05020300","URDAZUBI/URDAX","Pirineos","05\02\03\00\","6548FotoTH1.JPG","Monasterios","Renacentista","","621443","4791565","NO"
"3030","Monasterio y Museo de Tulebras","Monasterio y Museo de Tulebras","Patrimonio","","","4273","05020300","TULEBRAS","La Ribera","05\02\03\00\","3030FotoTH1.JPG","Monasterios","Renacentista, Románico","","609702","4648059","NO"
"3310","Monumento al Encierro","Monumento al Encierro","Patrimonio","","","4337","05020900","PAMPLONA","Cuenca de Pamplona","05\02\09\00\","3310FotoTH1.jpg","Escultura","Contemporáneo","","611056","4741134","NO"
"3011","Murallas de Pamplona","Murallas de Pamplona","Patrimonio","","","4266","05021400","PAMPLONA","Cuenca de Pamplona","05\02\14\00\","3011FotoTH5.JPG","Conjuntos amurallados","Renacentista","","611025","4741901","NO"
"5232","Museo y Yacimiento Arqueológico ""Las Eretas""","Museo y Yacimiento Arqueológico ""Las Eretas""","Patrimonio","7596","","7596","05020600","BERBINZANA","Zona Media","04\04\01\00\","5232FotoTH1.jpg","Restos arqueológicos","","","595980","4709003","NO"
"2913","Museo y yacimiento arqueológico de Andelos","Museo y yacimiento arqueológico de Andelos","Patrimonio","7597","","7597","05020600","MENDIGORRÍA","Zona Media","04\04\01\00\","2913FotoTH1.jpg","Restos arqueológicos","Romano","","593573","4716927","NO"
"4753","Museo y yacimiento arqueológico Villa de Arellano","Museo y yacimiento arqueológico Villa de Arellano","Patrimonio","7598","","7598","05020600","ARELLANO","Zona Media","04\04\01\00\","4753FotoTH1.jpg","Restos arqueológicos","Romano","","576032","4711524","NO"
"3296","Nuestra Señora de Muskilda","Nuestra Señora de Muskilda","Patrimonio","","","4334","05020100","OCHAGAVÍA","Pirineos","05\02\01\00\","3296FotoTH1.jpg","Iglesias y ermitas","Románico","","656255","4753184","NO"
"5967","Palacio de los Mencos","Palacio de los Mencos","Patrimonio","8856","","8856","05020400","TAFALLA","Zona Media","03\01\00\00\","5967FotoTH2.JPG","Castillos/Palacios","","","608707","4709026","NO"
"3154","Palacio de los Reyes de Navarra / Museo Gustavo de Maeztu","Palacio de los Reyes de Navarra / Museo Gustavo de Maeztu","Patrimonio","","","4317","05020400","ESTELLA-LIZARRA","Zona Media","05\02\04\00\","3154FotoTH1.JPG","Castillos/Palacios","Románico","","579508","4724572","NO"
"3012","Palacio de Navarra","Palacio de Navarra","Patrimonio","","","4267","05020400","PAMPLONA","Cuenca de Pamplona","05\02\04\00\","3012FotoTH1.jpg","Castillos/Palacios","Neoclásico","","610954","4741253","NO"
"3155","Palacio de Ongay-Vallesantoro","Palacio de Ongay-Vallesantoro","Patrimonio","","","4318","05020400","SANGÜESA","Zona Media","05\02\04\00\","3155FotoTH1.JPG","Castillos/Palacios","Barroco","","640774","4715105","NO"
"4616","Palacio del Condestable","Palacio del Condestable","Patrimonio","","","4346","05020400","PAMPLONA","Cuenca de Pamplona","05\02\04\00\","4616FotoTH1.jpg","Castillos/Palacios","Renacentista","","610733","4741525","NO"
"3027","Palacio del Marqués de Huarte","Palacio del Marqués de Huarte","Patrimonio","","","4270","05020400","TUDELA","La Ribera","05\02\04\00\","3027FotoTH1.JPG","Castillos/Palacios","Barroco","","615227","4657693","NO"
