;COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;PLAZAS;FECHA DE INSCRIPCION
PAMPLONA;;;;;;;;;;
;UAT00539;Estafeta/Casco Antiguo;Apartamento Turístico;Tercera/1 Llave;Calle de la Estafeta 75;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;24/02/2017 0:00:00
;UAT00263;Estela;Apartamento Turístico;Segunda/2 Llaves;Travesía Acella 7 ;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;12/02/2013 0:00:00
;UPE00939;Estela;Pensión;P*;Calle Sancho Ramirez  9;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;01/10/2018 0:00:00
;UPE00941;Estela II;Pensión;P*;Calle Sancho Ramirez 5 ;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;28/11/2018 0:00:00
;UAT00584;Etxea Rentals;Apartamento Turístico;Tercera/1 Llave;Juan Mª Guelbenzu 4 1ºD;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;6;27/06/2017 0:00:00
;UH000003;Europa;Hotel;3 Estrellas;Espoz y Mina 11;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;38;01/01/1949 0:00:00
;UHS00936;Ezkaba;Hostal;HsG;Guipuzcoa 40 Oficina 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;12;19/12/2018 0:00:00
;UAT00519;Frente a Catedral;Apartamento Turístico;Tercera/1 Llave;Dormitaleria 10 1º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;05/04/2017 0:00:00
;UAT00609;G & A;Apartamento Turístico;Tercera/1 Llave;Calle Calderería 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;27/06/2017 0:00:00
;UAT00575;G&A III;Apartamento Turístico;Tercera/1 Llave;Calle Calderería 5;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;20/11/2017 0:00:00
;UPE00817;Gestión de Alojamientos;Pensión;P*;Av. de Pío XII 34;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;6;26/12/2007 0:00:00
;UPE00818;Gestión de Alojamientos I;Pensión;P*;Av. de Pío XII 26;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;26/12/2007 0:00:00
;UPE00819;Gestión de Alojamientos II;Pensión;P*;Travesía Acella 3 ;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;26/12/2007 0:00:00
;UAT00131;Gestión de alojamientos II;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 5 6ºA;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;6;21/04/2009 0:00:00
;UAT00132;Gestión de alojamientos III;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 2 6ºD;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;21/04/2009 0:00:00
;UAT00133;Gestión de alojamientos IV;Apartamento Turístico;Primera/3 Llaves;Av. de Pío XII 24;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;21/04/2009 0:00:00
;UAT00356;Gestión de Alojamientos IX;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 1 3ºC;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;16/04/2015 0:00:00
;UAT00134;Gestión de alojamientos V;Apartamento Turístico;Primera/3 Llaves;Av. de Pío XII 26;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;21/04/2009 0:00:00
;UAT00135;Gestión de Alojamientos VI;Apartamento Turístico;Primera/3 Llaves;Av. de Pío XII 24;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;20/04/2009 0:00:00
;UAT00364;Gestión de Alojamientos VII;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 2 3º C;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;16/04/2015 0:00:00
;UAT00365;Gestión de Alojamientos X;Apartamento Turístico;Primera/3 Llaves;Av. de Pío XII 30;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;7;16/04/2015 0:00:00
;UAT00357;Gestión de Alojamientos XI;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 1 3ºE;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;16/04/2015 0:00:00
;UAT00379;Gestión de Alojamientos XII;Apartamento Turístico;Primera/3 Llaves;Pintor Maeztu 10 5º A;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;5;13/02/2015 0:00:00
;UAT00723;Gestion de Alojamientos XIX;Apartamento Turístico;Primera/3 Llaves;Av. de Pío XII 28;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;17/01/2018 0:00:00
;UAT00729;Gestion de Alojamientos XVII;Apartamento Turístico;Segunda/2 Llaves;Calle Sancho Ramirez 3;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;15/01/2018 0:00:00
;UAT00747;Gestión De Alojamientos XX;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 5 Esc.Iza. 6ºA;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;24/01/2018 0:00:00
;UAT00740;Gestión De Alojamientos XXI;Apartamento Turístico;Primera/3 Llaves;Pintor Paret  5 Esca, Izda, 4º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;;2;22/01/2018 0:00:00
;UAT00744;Gestión De Alojamientos XXII;Apartamento Turístico;Segunda/2 Llaves;Pintor Paret 5 Esc, Izda, 3º B;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;25/01/2018 0:00:00
;UAT00739;Gestión De Alojamientos XXIII;Apartamento Turístico;Primera/3 Llaves;Pintor Paret  5 Esc. Izda 7 º A;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;5;22/01/2018 0:00:00
;UAT00738;Gestión De Alojamientos XXIV;Apartamento Turístico;Primera/3 Llaves;Pío XII 26;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;22/01/2018 0:00:00
;UAT00742;Gestión De Alojamientos XXIX;Apartamento Turístico;Segunda/2 Llaves;Calle Sancho Ramirez 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;25/01/2018 0:00:00
;UAT00746;Gestión De Alojamientos XXV;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 3 4º Izda;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;24/01/2018 0:00:00
