;COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;PLAZAS;FECHA DE INSCRIPCION
PAMPLONA;;;;;;;;;;
ORBAIZETA;;;;;;;;;;
;UATR0962;Artzaia;Apartamento Turístico Rural;Primera/3 Llaves;Larraka 0 1ª Dcha;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;2;01/08/2019 0:00:00
;UATR0964;Basoa;Apartamento Turístico Rural;Segunda/2 Llaves;Larraka 0 Entrecubierta;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;6;01/08/2019 0:00:00
;UAT01071;Gurutze;Apartamento Turístico;Segunda/2 Llaves;Rotxapea 19 Bloque 2 Pta B;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;3;29/06/2020 0:00:00
;UHSR0938;Iratiko Urkixokoa;Hostal;HsRural;Larraun 0;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;20;14/09/2018 0:00:00
;uab00003;Mendilatz;Albergue turístico;1ª Categoria;Pantano de Irabia, km. 4 0;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;20;14/07/1999 0:00:00
;UHSR0942;Mendilatz II;Hostal;HsRural;Pantano Irabia 0 Km 4;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;20;15/01/2019 0:00:00
;UATR0963;Ola;Apartamento Turístico Rural;Tercera/1 Llave;Larraka 0 Pta. 1ª izda;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;4;01/08/2019 0:00:00
;UATR0094;Pardix I;Apartamento Turístico Rural;Segunda/2 Llaves;Francisco Antxorena 0;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;4;14/02/2008 0:00:00
;UATR0094(BIS);Pardix II;Apartamento Turístico Rural;Segunda/2 Llaves;Francisco Antxorena 0;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;4;28/01/2008 0:00:00
;ucr00324;Sastrarena;Casa rural habitaciones;CRH 2 Estrellas;San Juan 0 S/N;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;4;26/06/1996 0:00:00
;UCR00498;Txorrota;Casa rural habitaciones;CRH 2 Estrellas;San Pedro 0 S/N;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;4;30/11/2000 0:00:00
;UCR00715;Txortako Txikia;Casa rural vivienda;CRV 1 Estrella;San Pedro 0 S/N;ORBAIZETA;ORBAITZETA                                                                                          ;Pirineos;6;05/08/2005 0:00:00
LARRASOAÑA;;;;;;;;;;
;UAB00123;Asteia;Albergue turístico;2ª Categoria;Errotabidea 24;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;12;28/12/2018 0:00:00
;UCR01037;Casa de Pío;Casa rural vivienda;CRV 3 Estrellas;San Nicolás 10;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;10;22/08/2014 0:00:00
;UPE00909;Casa Elita;Pensión;P*;Amairu 7;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;4;28/04/2015 0:00:00
;UAT01045;Casa Sangalo;Apartamento Turístico;Segunda/2 Llaves;Portacelay 12 bajo;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;10;24/06/2020 0:00:00
;UPE00752;El Peregrino;Pensión;P*;San Nicolás 50;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;9;11/09/2002 0:00:00
;UAB00088;Larrasoaña;Albergue turístico;del Camino de Santiago;San Nicolas 17;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;32;26/11/2014 0:00:00
;UAB00095;San Nicolás;Albergue turístico;del Camino de Santiago;Soraundi 5 -7;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;40;25/03/2015 0:00:00
;UVT00590;San Nicolás;Vivienda Turística;Primera/3 Llaves;San Nicolas 45;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;10;27/07/2017 0:00:00
;UPE00898;Tau;Pensión;P*;Errotabidea 18;LARRASOAÑA;ESTERIBAR                                                                                           ;Pirineos;9;04/10/2013 0:00:00
PERALTA;;;;;;;;;;
;uhs00484;Atalaya;Hostal;HsG;Daban 11;PERALTA;PERALTA                                                                                             ;La Ribera;32;02/09/1976 0:00:00
;UHS00720;Peñalén;Hostal;HsG;Variante Peralta Km 23,5 0;PERALTA;PERALTA                                                                                             ;La Ribera;46;28/03/2001 0:00:00
MEANO;;;;;;;;;;
;UCR01113;Atalaya;Casa rural vivienda;CRV 1 Estrella;Prado 49 A;MEANO;LAPOBLACIÓN                                                                                         ;Zona Media;9;05/10/2017 0:00:00
IBERO;;;;;;;;;;
;UATR0051;Atostarra I y II;Apartamento Turístico Rural;Primera/3 Llaves;Arakil 3;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;4;18/03/2005 0:00:00
;UATR0152;Atostarra III;Apartamento Turístico Rural;Primera/3 Llaves;Arakil 3;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;7;20/10/2009 0:00:00
;UATR0438;Casa Atostarra IV;Apartamento Turístico Rural;Primera/3 Llaves;Arakil 3;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;4;22/07/2016 0:00:00
;UATR0439;Casa Atostarra V;Apartamento Turístico Rural;Segunda/2 Llaves;Arakil 3;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;2;05/07/2016 0:00:00
;UVTR0504;Passivescape-1;Vivienda Turística Rural;Segunda/2 Llaves;Larreberri 18;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;14;11/01/2017 0:00:00
;UVTR0493;Passivescape-2;Vivienda Turística Rural;Segunda/2 Llaves;Larreberri 16 A;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;12;14/11/2016 0:00:00
;ucr00453;Zubiri Anocibar I;Casa rural vivienda;CRV 2 Estrellas;Izpea 12 S/N;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;10;19/08/1999 0:00:00
;ucr00454;Zubiri Anocibar II;Casa rural vivienda;CRV 2 Estrellas;Izpea 12 S/N;IBERO;OLZA                                                                                                ;Cuenca de Pamplona;12;19/08/1999 0:00:00
OBANOS;;;;;;;;;;
;UAB00119;Atseden Hostel;Albergue turístico;del Camino de Santiago;Camino de Santiago 2;OBANOS;OBANOS                                                                                              ;Zona Media;12;27/06/2017 0:00:00
;uat00049;Casa Lola;Apartamento Turístico;Primera/3 Llaves;Legardabidea 4;OBANOS;OBANOS                                                                                              ;Zona Media;8;11/03/2005 0:00:00
;UVT00050;Casa Raichu;Vivienda Turística;Primera/3 Llaves;Ntra. Sra. De Arnotegui 0 S/N;OBANOS;OBANOS                                                                                              ;Zona Media;9;18/03/2005 0:00:00
;UATR0588;Estudio Villazón;Apartamento Turístico Rural;Tercera/1 Llave;San Sebastián  5;OBANOS;OBANOS                                                                                              ;Zona Media;2;24/10/2017 0:00:00
;UCR00924;Eunate;Casa rural vivienda;CRV 1 Estrella;San Sebastian 3;OBANOS;OBANOS                                                                                              ;Zona Media;8;17/05/2010 0:00:00
;UAT00267;Gure Ametza;Apartamento Turístico;Primera/3 Llaves;Errotaldea 3;OBANOS;OBANOS                                                                                              ;Zona Media;6;26/03/2013 0:00:00
;UAT00302;La Patxuela I;Apartamento Turístico;Primera/3 Llaves;San Sebastián 7;OBANOS;OBANOS                                                                                              ;Zona Media;6;30/04/2014 0:00:00
;UAT00303;La Patxuela II;Apartamento Turístico;Segunda/2 Llaves;San Sebastián 7;OBANOS;OBANOS                                                                                              ;Zona Media;6;30/04/2014 0:00:00
;UHSR0821;Mamerto;Hostal;HsRural;San Lorenzo 13 B;OBANOS;OBANOS                                                                                              ;Zona Media;16;20/02/2008 0:00:00
;uab00020;Usda;Albergue turístico;2ª Categoria;San Lorenzo 6;OBANOS;OBANOS                                                                                              ;Zona Media;30;07/04/2004 0:00:00
;UCR01011;Villazón II;Casa rural vivienda;CRV 3 Estrellas;San Sebastián 5;OBANOS;OBANOS                                                                                              ;Zona Media;8;23/05/2013 0:00:00
ITURMENDI;;;;;;;;;;
;UVT00814;Atxumendi;Vivienda Turística;Segunda/2 Llaves;Erburu 4;ITURMENDI;ITURMENDI                                                                                           ;Pirineos;6;26/06/2018 0:00:00
;UATR0181;Casa Elordi I;Apartamento Turístico Rural;Segunda/2 Llaves;Arrano Beltza 6;ITURMENDI;ITURMENDI                                                                                           ;Pirineos;3;20/08/2010 0:00:00
;UATR0181(BIS);Casa Elordi II;Apartamento Turístico Rural;Segunda/2 Llaves;Arrano Beltza 6;ITURMENDI;ITURMENDI                                                                                           ;Pirineos;13;20/08/2010 0:00:00
;UCR01017;Casa Nemesio;Casa rural vivienda;CRV 1 Estrella;Estafeta 25;ITURMENDI;ITURMENDI                                                                                           ;Pirineos;4;19/09/2013 0:00:00
GARRALDA;;;;;;;;;;
;UATR0939;Auñak 1;Apartamento Turístico Rural;Segunda/2 Llaves;Antonio Arostegi 8 2º dcha;GARRALDA;GARRALDA                                                                                            ;Pirineos;4;20/06/2019 0:00:00
;UATR0940;Auñak 2;Apartamento Turístico Rural;Segunda/2 Llaves;Antonio Arostegi 8 2º izda;GARRALDA;GARRALDA                                                                                            ;Pirineos;4;20/06/2019 0:00:00
;UATR0293;Irati Garralda I;Apartamento Turístico Rural;Segunda/2 Llaves;Iberreka 14 Bajo Izq.;GARRALDA;GARRALDA                                                                                            ;Pirineos;4;31/10/2013 0:00:00
;UATR0294;Irati Garralda II;Apartamento Turístico Rural;Segunda/2 Llaves;Iberreka 14 2º Izq.;GARRALDA;GARRALDA                                                                                            ;Pirineos;4;31/10/2013 0:00:00
;UATR0432;Irati Garralda III;Apartamento Turístico Rural;Primera/3 Llaves;Iberreka 14;GARRALDA;GARRALDA                                                                                            ;Pirineos;4;16/06/2017 0:00:00
;UATR0433;Irati Garralda IV;Apartamento Turístico Rural;Segunda/2 Llaves;Iberreka 14;GARRALDA;GARRALDA                                                                                            ;Pirineos;4;15/05/2017 0:00:00
;UCR00886;Tulubio Borda;Casa rural vivienda;CRV 2 Estrellas;San Martin 4 a;GARRALDA;GARRALDA                                                                                            ;Pirineos;9;27/03/2009 0:00:00
ZUBIETA;;;;;;;;;;
;UCR01103;Axerburu;Casa rural vivienda;CRV 3 Estrellas;Diseminado 0;ZUBIETA;ZUBIETA                                                                                             ;Pirineos;8;05/07/2017 0:00:00
;UCR00128;Ferminenea;Casa rural vivienda;CRV 1 Estrella;Casa Ferminenea 0;ZUBIETA;ZUBIETA                                                                                             ;Pirineos;8;21/03/1991 0:00:00
;uab00018;Olasenea;Albergue turístico;2ª Categoria;Mayor 13;ZUBIETA;ZUBIETA                                                                                             ;Pirineos;24;21/08/2003 0:00:00
;UPE00630;Zubietako Herriko Ostatua;Pensión;P**;Herriko Plaza 1;ZUBIETA;ZUBIETA                                                                                             ;Pirineos;10;23/12/1992 0:00:00
DORRAO/TORRANO;;;;;;;;;;
;UVTR0494;Axkardigein Etxea;Vivienda Turística Rural;Segunda/2 Llaves;Korosobide 4;DORRAO/TORRANO;ERGOIENA                                                                                            ;Pirineos;8;07/12/2016 0:00:00
;UVTR0390;Etxeondo;Vivienda Turística Rural;Segunda/2 Llaves;Korosobide 4 Izda;DORRAO/TORRANO;ERGOIENA                                                                                            ;Pirineos;10;10/04/2015 0:00:00
AYECHU;;;;;;;;;;
;ucr00263;Azparren;Casa rural vivienda;CRV 1 Estrella;San Juan 0 S/N;AYECHU;URRAÚL ALTO                                                                                         ;Pirineos;6;01/02/1994 0:00:00
ETXARRI;;;;;;;;;;
;UCR00807;Azpikoetxea;Casa rural vivienda;CRV 4 Estrellas;Santa Cruz 9 bloque bi;ETXARRI;LARRAUN                                                                                             ;Pirineos;10;11/07/2007 0:00:00
;UATR0223;Casa Ongi Etorri I;Apartamento Turístico Rural;Primera/3 Llaves;Santa Cruz 15 1º;ETXARRI;LARRAUN                                                                                             ;Pirineos;6;01/03/2012 0:00:00
;UATR0222;Casa Ongi Etorri II;Apartamento Turístico Rural;Primera/3 Llaves;Santa Cruz 15 2º;ETXARRI;LARRAUN                                                                                             ;Pirineos;2;01/03/2012 0:00:00
LÁCAR;;;;;;;;;;
;UCR00991;Babes Enea;Casa rural vivienda;CRV 3 Estrellas;Eguiarte 31;LÁCAR;YERRI                                                                                               ;Zona Media;10;26/04/2012 0:00:00
;ucr00711;Eguiarte;Casa rural vivienda;CRV 2 Estrellas;Eguiarte 0;LÁCAR;YERRI                                                                                               ;Zona Media;6;21/07/2005 0:00:00
;UCR00808;La Sacristana;Casa rural vivienda;CRV 3 Estrellas;Eguiarte 21;LÁCAR;YERRI                                                                                               ;Zona Media;10;12/07/2007 0:00:00
;UVT00262;Las Golondrinas;Vivienda Turística;Tercera/1 Llave;Rebote 3;LÁCAR;YERRI                                                                                               ;Zona Media;18;12/02/2013 0:00:00
AZKARATE;;;;;;;;;;
;UCR00971;Balerdi Behekoa;Casa rural vivienda;CRV 1 Estrella;San Fermín 4 A;AZKARATE;ARAITZ                                                                                              ;Pirineos;2;11/10/2011 0:00:00
;UCR00970;Balerdi Goikoa;Casa rural vivienda;CRV 1 Estrella;San Fermín 4 A;AZKARATE;ARAITZ                                                                                              ;Pirineos;4;11/10/2011 0:00:00
UDABE;;;;;;;;;;
;UCR00805;Balkonpe;Casa rural vivienda;CRV 2 Estrellas;Virgen del Rosario 1;UDABE;BASABURUA                                                                                           ;Pirineos;4;25/06/2007 0:00:00
;UCR01006;Balkonpe I;Casa rural vivienda;CRV 3 Estrellas;Virgen del Rosario 0 s/n;UDABE;BASABURUA                                                                                           ;Pirineos;4;05/12/2012 0:00:00
;UCR01007;Balkonpe II;Casa rural vivienda;CRV 3 Estrellas;Virgen del Rosario 1;UDABE;BASABURUA                                                                                           ;Pirineos;4;05/12/2012 0:00:00
;UHSR0627;Venta Udabe;Hostal;HsRural;Udabe 0;UDABE;BASABURUA                                                                                           ;Pirineos;18;28/10/1992 0:00:00
ELGORRIAGA;;;;;;;;;;
;UH000854;Balneario de Elgorriaga;Hotel;3 Estrellas;Errotaldea, s/n 0;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;135;25/11/2009 0:00:00
;UVTR0115;Casa Lekonea;Vivienda Turística Rural;Primera/3 Llaves;San Pedro 27;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;8;03/10/2008 0:00:00
;UATR0240;Casa Mallinea;Apartamento Turístico Rural;Segunda/2 Llaves;Mayor 25;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;7;11/09/2012 0:00:00
;UCR01027;Erreroa;Casa rural vivienda;CRV 1 Estrella;San Pedro 12;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;8;26/11/2013 0:00:00
;ucr00590;Martinea;Casa rural habitaciones;CRH 1 Estrella;Mayor 18;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;4;02/04/2003 0:00:00
;ucr00449;Martinea I;Casa rural vivienda;CRV 2 Estrellas;Mayor, 18 0;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;6;28/07/1999 0:00:00
;ucr00450;Martinea II;Casa rural vivienda;CRV 2 Estrellas;Mayor, 18 0;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;6;28/07/1999 0:00:00
FITERO;;;;;;;;;;
;UH000008;Balneario Gustavo Adolfo Bécquer;Hotel;3 Estrellas;Extramuros 0 s/n;FITERO;FITERO                                                                                              ;La Ribera;322;02/11/1948 0:00:00
;UH000079;Balneario Virrey Palafox;Hotel;3 Estrellas;Extramuros 0 s/n;FITERO;FITERO                                                                                              ;La Ribera;119;02/11/1948 0:00:00
;UVT00811;Casa BlancadeNavarra;Vivienda Turística;Primera/3 Llaves;Tudela 72;FITERO;FITERO                                                                                              ;La Ribera;10;03/08/2018 0:00:00
;UAT00979;Casa Morrorro Dos;Apartamento Turístico;Segunda/2 Llaves;José Mª Lahiguera 3;FITERO;FITERO                                                                                              ;La Ribera;10;25/06/2019 0:00:00
;UAT00978;Casa Morrorro Uno;Apartamento Turístico;Segunda/2 Llaves;José Mª García Lahiguera 3;FITERO;FITERO                                                                                              ;La Ribera;4;25/06/2019 0:00:00
OLAZTI/OLAZAGUTIA;;;;;;;;;;
;UVTR1020;Barandi Urbasa;Vivienda Turística Rural;Tercera/1 Llave;de Urbasa 31;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos, Zona Media;13;21/04/2020 0:00:00
;UATR0592;Imaz Etxea Andia;Apartamento Turístico Rural;Segunda/2 Llaves;Mayor 35;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos, Zona Media;4;01/06/2017 0:00:00
;UATR0241;Imaz Etxea Aralar;Apartamento Turístico Rural;Tercera/1 Llave;Mayor 35;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;6;20/08/2012 0:00:00
;UATR0591;Imaz Etxea Entzia;Apartamento Turístico Rural;Tercera/1 Llave;Mayor  35 Planta Baja;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos, Zona Media;2;09/03/2018 0:00:00
;UATR0239;Imaz Etxea Urbasa;Apartamento Turístico Rural;Tercera/1 Llave;Mayor 35;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;6;04/07/2012 0:00:00
;uct00014;Urbasa;Camping;3 estrellas;Estella-Olazagutia, km-30 (Par 0;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;576;06/07/1992 0:00:00
;UH000843;Urbasa;Hotel;2 Estrellas;Nacional, 1, Km 396 0;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;21;31/10/2008 0:00:00
;UCR00537;Urbasa Bide I;Casa rural vivienda;CRV 2 Estrellas;Mayor 50;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;6;07/11/2001 0:00:00
;UCR00538;Urbasa Bide II;Casa rural vivienda;CRV 2 Estrellas;Mayor 50;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;6;07/11/2001 0:00:00
VILLAFRANCA;;;;;;;;;;
;UCT00027;Bardenas;Camping;3 estrellas;NA-660 P.K. 13,4 0;VILLAFRANCA;VILLAFRANCA                                                                                         ;La Ribera;391;25/02/2009 0:00:00
;UHS00333;El Corzo;Hostal;HsG;Pamplona-Zaragoza km 70 0;VILLAFRANCA;VILLAFRANCA                                                                                         ;La Ribera;21;25/02/1969 0:00:00
;UHSR0803;Hospedería de Alesves;Hostal;HsRural;Bajo el Arco  34;VILLAFRANCA;VILLAFRANCA                                                                                         ;La Ribera;21;20/11/2006 0:00:00
;UVT00427;La Pinta;Vivienda Turística;Segunda/2 Llaves;Las Rosas 11;VILLAFRANCA;VILLAFRANCA                                                                                         ;La Ribera;8;05/07/2016 0:00:00
;UVT00290;Senda de la Ribera;Vivienda Turística;Primera/3 Llaves;Bajo el Arco 77;VILLAFRANCA;VILLAFRANCA                                                                                         ;La Ribera;8;31/10/2013 0:00:00
FIGAROL;;;;;;;;;;
;ucr00722;Bardenas Park;Casa rural vivienda;CRV 2 Estrellas;Encierro 9;FIGAROL;CARCASTILLO                                                                                         ;La Ribera;9;25/08/2005 0:00:00
;uab00013;Doshaches;Albergue turístico;2ª Categoria;de los Fueros 22;FIGAROL;CARCASTILLO                                                                                         ;La Ribera;48;26/07/2000 0:00:00
VALTIERRA;;;;;;;;;;
;UCR00562;Bardeneras Cueva el Cobachón;Casa rural vivienda;CRV 2 Estrellas;Complejo Troglodita 0;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;2;07/08/2002 0:00:00
;UCR00664;Bardeneras Cueva el Palomar;Casa rural vivienda;CRV 1 Estrella;Complejo  Troglodita 0;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;6;01/10/2004 0:00:00
;UCR00891;Castillo de Peñaflor;Casa rural vivienda;CRV 1 Estrella;del Castillo, cueva 289 0;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;6;25/02/2009 0:00:00
;UATR0518;Cueva Suite Passion Bardenera;Apartamento Turístico Rural;Tercera/1 Llave;Palomares 50;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;2;27/02/2017 0:00:00
;uat00019;Cuevas;Apartamento Turístico;Tercera/1 Llave;Palomares 48;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;35;07/08/2002 0:00:00
;UVTR0437;El Caldero;Vivienda Turística Rural;Segunda/2 Llaves;Romero 6;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;5;29/12/2015 0:00:00
;UATR0474;El Convento;Apartamento Turístico Rural;Segunda/2 Llaves;Del convento 2;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;8;22/07/2016 0:00:00
;ucr00609;El Triguillo;Casa rural vivienda;CRV 3 Estrellas;de la Juventud 2;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;10;21/08/2003 0:00:00
;UAB00126;Hostel la Huertica;Albergue turístico;2ª Categoria;Salinas 19;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;38;17/03/2020 0:00:00
;UAT00140;La Alcoholera;Apartamento Turístico;Segunda/2 Llaves;San Isidro 3;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;8;12/06/2009 0:00:00
;UAT00325;La Casica Bardenera;Apartamento Turístico;Tercera/1 Llave;De la Ribera 185;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;6;03/10/2014 0:00:00
;UCR00882;La Parada;Casa rural vivienda;CRV 2 Estrellas;Sancho Garcés 7;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;7;31/12/2008 0:00:00
;UVT01033;Oasis de Bardenas;Vivienda Turística;Tercera/1 Llave;Ebro 7;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;30;17/06/2020 0:00:00
;UAT00211;Palacio Gomara-Bardenas;Apartamento Turístico;Tercera/1 Llave;De lod Derechos Humanos 6 bloque A 3º;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;5;17/06/2011 0:00:00
;UCR00868;Sancho El Fuerte;Casa rural vivienda;CRV 2 Estrellas;Sancho El Fuerte 1;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;6;01/10/2008 0:00:00
;UCR00926;Sancho El Fuerte II;Casa rural vivienda;CRV 1 Estrella;Sancho El Fuerte 1;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;4;10/06/2010 0:00:00
BARGOTA;;;;;;;;;;
;UCR00941;Bargota;Casa rural vivienda;CRV 1 Estrella;Juan Lobo 20;BARGOTA;BARGOTA                                                                                             ;Zona Media;6;30/08/2010 0:00:00
ARIZKUN;;;;;;;;;;
;ucr00342;Barrantxea I;Casa rural vivienda;CRV 2 Estrellas;Ordoki 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;8;21/08/1996 0:00:00
;ucr00343;Barrantxea II;Casa rural vivienda;CRV 2 Estrellas;Ordoki 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;8;21/08/1996 0:00:00
;UCR01059;Castroenea;Casa rural vivienda;CRV 2 Estrellas;Casa Castroenea 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;12;02/10/2015 0:00:00
;UCR00190;Enekoneko Borda;Casa rural vivienda;CRV 2 Estrellas;Mendialdea 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;10;06/08/1993 0:00:00
;UPE00320;Etxeberria I;Pensión;P*;Txuputo 43;ARIZKUN;BAZTAN                                                                                              ;Pirineos;12;21/12/1970 0:00:00
;UPE00564;Etxeberria II;Pensión;P*;Larrain, s/n 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;16;22/08/1983 0:00:00
;ucr00654;Etxezuria;Casa rural vivienda;CRV 3 Estrellas;Txuputo 20;ARIZKUN;BAZTAN                                                                                              ;Pirineos;13;26/07/2004 0:00:00
;UCR01065;Etxezuria Txiki;Casa rural vivienda;CRV 3 Estrellas;Txuputo 20;ARIZKUN;BAZTAN                                                                                              ;Pirineos;2;12/06/2015 0:00:00
;UVTR0970;Felipenea;Vivienda Turística Rural;Primera/3 Llaves;Burdintxa 0 casa Felipenea;ARIZKUN;BAZTAN                                                                                              ;Pirineos;6;07/11/2019 0:00:00
;UCR00186;Gontxea;Casa rural habitaciones;CRH 2 Estrellas;Txuputu 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;12;30/07/1993 0:00:00
;UATR0150;Kostarzua I, II y III;Apartamento Turístico;Primera/3 Llaves;Ordoki 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;14;18/09/2009 0:00:00
;UAT00150BIS;Kostarzua III;Apartamento Turístico;Segunda/2 Llaves;Ordoki 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;8;18/09/2009 0:00:00
;ucr00058;Landaberroa;Casa rural habitaciones;CRH 1 Estrella;Casa Landaberroa 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;4;06/11/1990 0:00:00
;ucr00141;Lartezarrea;Casa rural vivienda;CRV 1 Estrella;Aintzialde 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;6;12/05/1992 0:00:00
;UCR00502;Lizardikoborda I;Casa rural vivienda;CRV 3 Estrellas;Casa Atsotenea 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;6;27/12/2000 0:00:00
;UCR00503;Lizardikoborda II;Casa rural vivienda;CRV 3 Estrellas;Casa Atsotenea 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;2;27/12/2000 0:00:00
;UCR00732;Malkoa;Casa rural habitaciones;CRH 2 Estrellas;Elizainzenea 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;12;06/03/2006 0:00:00
;UCR00958;Ortxixenea;Casa rural vivienda;CRV 2 Estrellas;Bergara 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;14;14/06/2011 0:00:00
;UH000775;Señorío de Ursua;Hotel;3 Estrellas;Casa Ikazatea 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;38;26/07/2004 0:00:00
;UCR01105;Tristantenea;Casa rural vivienda;CRV 1 Estrella;Karrika Zaharrea 0;ARIZKUN;BAZTAN                                                                                              ;Pirineos;6;05/10/2017 0:00:00
;UCR00875;Zilbetinea;Casa rural habitaciones;CRH 2 Estrellas;Tximindo 27;ARIZKUN;BAZTAN                                                                                              ;Pirineos;10;13/11/2008 0:00:00
URTASUN;;;;;;;;;;
;UVTR0880;Basalore;Vivienda Turística Rural;Segunda/2 Llaves;La Asunción 15;URTASUN;ESTERIBAR                                                                                           ;Pirineos;9;07/03/2019 0:00:00
MUNETA;;;;;;;;;;
;UCR00784;Basaula;Casa rural habitaciones;CRH 3 Estrellas;Mayor 18;MUNETA;ALLÍN                                                                                               ;Zona Media;6;14/03/2007 0:00:00
ANOZ;;;;;;;;;;
;UATR0287;Basterretxea II;Apartamento Turístico Rural;Tercera/1 Llave;Basabe s/n 0;ANOZ;OLLO                                                                                                ;Cuenca de Pamplona;4;19/09/2013 0:00:00
GARTZAIN;;;;;;;;;;
;UH000326;Baztan;Hotel;3 Estrellas;Pamplona-Francia km.52 0;GARTZAIN;BAZTAN                                                                                              ;Pirineos;168;27/06/1964 0:00:00
;UCR01064;Baztango Borda;Casa rural habitaciones;CRH 2 Estrellas;de Saltsua 0;GARTZAIN;BAZTAN                                                                                              ;Pirineos;2;16/03/2017 0:00:00
;UCR00761;Gamioa I;Casa rural vivienda;CRV 1 Estrella;Mayor 24 bajo;GARTZAIN;BAZTAN                                                                                              ;Pirineos;8;29/09/2006 0:00:00
