CÓDIGO,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,ZONA,PLAZAS,COORDENADAS
UAT00544,Alojamientos Olga,Apartamento Turístico,Tercera/1 Llave,Av. Pio XII 32,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8063562, -1.6619065)"
UHS00824,Alojamientos Pamplona,Hostal,HsG,Calle Sancho Ramírez 7,PAMPLONA,Cuenca de Pamplona,11.0,"(42.1374328, -0.4051738)"
UAT00617,Alojamientos Pamplona 5,Apartamento Turístico,Tercera/1 Llave,Calle Sancho Ramírez 31,PAMPLONA,Cuenca de Pamplona,7.0,"(42.8082357, -1.6662554)"
UAT00561,Altalea,Apartamento Turístico,Segunda/2 Llaves,Mercaderes  31 6º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8186914, -1.6428518)"
UAT00329,Ambiente Histórico en Casco Viejo,Apartamento Turístico,Tercera/1 Llave,Tejeria 7 4º,PAMPLONA,Cuenca de Pamplona,4.0,"(19.1734082, -96.2229948)"
UAT01028,Anamar,Apartamento Turístico,Primera/3 Llaves,Calle Zapatería 7 1º,PAMPLONA,Cuenca de Pamplona,4.0,"(41.5014195, -5.7464561)"
UAT00569,Ansoleaga 25,Apartamento Turístico,Segunda/2 Llaves,Florencio Ansoleaga  25 1º,PAMPLONA,Cuenca de Pamplona,7.0,"(42.8177134, -1.6449143)"
UAT00919,Antique Pamplona Apartments 001,Apartamento Turístico,Tercera/1 Llave,Dormitalería 18,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8191138, -1.6412975)"
UAT00409,Antón,Apartamento Turístico,Tercera/1 Llave,San Antón  59 1º Dcha,PAMPLONA,Cuenca de Pamplona,4.0,"(40.2414307, -3.7682513)"
UHS00746,Arriazu,Hostal,HsG,Calle Comedias 14 ,PAMPLONA,Cuenca de Pamplona,43.0,"(42.8163203, -1.6437566)"
UAT00614,Atico Centro,Apartamento Turístico,Primera/3 Llaves,Zaragoza 29 8º,PAMPLONA,Cuenca de Pamplona,2.0,"(41.6488226, -0.8890853)"
UAT00637,Atico Estafeta,Apartamento Turístico,Segunda/2 Llaves,Calle de la Estafeta 31,PAMPLONA,Cuenca de Pamplona,1.0,"(40.3719395, -3.6920885)"
UAT00501,Ático Río Ega,Apartamento Turístico,Primera/3 Llaves,Río Ega 26,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8049216, -1.6457672)"
UAT00651,Auzolan,Apartamento Turístico,Tercera/1 Llave,Cendear de Zizur 11 Bajo Iz,PAMPLONA,Cuenca de Pamplona,6.0,"(42.7855575, -1.6882181)"
UH000592,Avenida,Hotel,3 Estrellas,Zaragoza 5,PAMPLONA,Cuenca de Pamplona,48.0,"(41.6488226, -0.8890853)"
UAT00463,Ayla Ayuntamiento,Apartamento Turístico,Segunda/2 Llaves,Calle Nueva 5,PAMPLONA,Cuenca de Pamplona,2.0,"(39.9681972, -4.300491)"
UAT00732,Ayuntasquare,Apartamento Turístico,Tercera/1 Llave,Calceteros 2 5º B,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8179406, -1.6437737)"
UAT00458,Balcón del Encierro,Apartamento Turístico,Tercera/1 Llave,Santo Domingo 29 4º,PAMPLONA,Cuenca de Pamplona,5.0,"(18.4860575, -69.93121169999999)"
UHS00148,Bearán,Hostal,HsG,Calle San Nicolás 25,PAMPLONA,Cuenca de Pamplona,29.0,"(37.9862674, -1.1356565)"
UAT00541,Bee Happy Erletokieta,Apartamento Turístico,Primera/3 Llaves,Escaleras Erletokieta 8,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8063155, -1.6451846)"
UAT00994,"Bergamín, en pleno centro de Pamplona",Apartamento Turístico,Segunda/2 Llaves,Bergamín 8 1º izda,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8106738, -1.6393959)"
