CÓDIGO,NOMBRE,MODALIDAD,CATEGORÍA,DIRECCIÓN,LOCALIDAD,ZONA,ESPECIALIDAD,COORDENADAS
UR001017,Café Niza,Restaurantes,Segunda/2 Tenedores,Calle del Duque de Ahumada 5,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(40.4961271, -3.8857879)"
ur000613,Casa Albero,Restaurantes,Sin definir,Calle Zolina 3,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.7983272, -1.6412183)"
ur000351,Casa Ángel,Restaurantes,Sin definir,Abejeras 43,PAMPLONA,Cuenca de Pamplona,Asador,"(42.8042606, -1.6468874)"
UR000983,Casa de Comidas San Miguel,Restaurantes,Sin definir,Calle Espoz y Mina 7,ESTELLA,Zona Media,Casera o regional,"(40.4157547, -3.702127199999999)"
ur000425,Casa Evaristo,Restaurantes,Sin definir,Calle de la Estafeta 69,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8166405, -1.6414935)"
UR000021,Casa Flores,Restaurantes,Sin definir,Calle de la Estafeta 85,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.816221, -1.6412008)"
ur000441,Casa Luis,Restaurantes,Sin definir,Padre Calatayud 11,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8109251, -1.6419809)"
UR000009,Casa Manolo,Restaurantes,Sin definir,García Castañón 12,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8142364, -1.6433785)"
UR00024,Casa Otano,Restaurantes,Primera/3 tenedores,Calle San Nicolás 5,PAMPLONA,Cuenca de Pamplona,Asador,"(43.52435060000001, -5.6682378)"
UR000298,Casanova,Restaurantes,Segunda/2 Tenedores,Fray Wenceslao de Oñate 8,ESTELLA,Zona Media,Casera o regional,"(42.67215909999999, -2.0324258)"
UR000224,Catachú,Restaurantes,Sin definir,Lindachiquía 16,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8160073, -1.6443694)"
UR000523,Cerveceria Internacional,Restaurantes,Segunda/2 Tenedores,Av. de Bayona 48,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8122914, -1.6622488)"
uc000161,Cerveceria Tropicana,Cafeterías,Segunda/1 Taza,Pl. del Castillo 18,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8165455, -1.6417487)"
ur000229,Ché,Restaurantes,Sin definir,"Olite, nº 8 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.481425, -1.6509768)"
UR000509,Chef Claudio,Restaurantes,Segunda/2 Tenedores,Federico Soto 9,PAMPLONA,Cuenca de Pamplona,"Casera o regional, Internacional","(38.3446434, -0.4898750000000001)"
ur000857,China Imperial,Restaurantes,Sin definir,Pintor Crispín 8,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.80816, -1.6565998)"
UR000823,China Town,Restaurantes,Tercera/1 tenedor,Paseo de la Inmaculada 72,ESTELLA,Zona Media,Internacional,"(42.6721555, -2.0342455)"
UR000062,Chung Feng,Restaurantes,Sin definir,García de Nájera 2,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8101189, -1.6602052)"
uc000079,Ciaboga,Cafeterías,Segunda/1 Taza,Ermitagaña 0 4,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8109944, -1.6651345)"
ur000393,Ciaurriz,Restaurantes,Sin definir,Padre Calatayud 14,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8103559, -1.6416527)"
uc000102,Ciudad De Pamplona,Cafeterías,Segunda/1 Taza,Sancho el Fuerte 20,PAMPLONA,Cuenca de Pamplona,No definida,"(42.80951839999999, -1.6541424)"
UR000916,Ciudad Feliz,Restaurantes,Sin definir,García de Nájera 6,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8112794, -1.6622157)"
ur000768,Club Social de Profesionales,Restaurantes,Sin definir,Baja Navarra 47,PAMPLONA,Cuenca de Pamplona,De autor,"(42.8142204, -1.6324745)"
UR000308,Cocktail Bar Meeting Point,Restaurantes,Segunda/2 Tenedores,Iturrama 21,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8045626, -1.6524894)"
uc000089,Condivetto,Cafeterías,Segunda/1 Taza,Conde Oliveto 3,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8125506, -1.6437042)"
UR000891,Deboca,Restaurantes,Sin definir,"Monjardín, 9-11 0",PAMPLONA,Cuenca de Pamplona,Innovadora,"(30.1413043, -91.9830774)"
ur000348,Dom Lluis,Restaurantes,Sin definir,San Nicolas 1,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(14.4321786, 120.976877)"
ur000759,Domino´s Pizza,Restaurantes,Pizzeria,Av. de Pío XII 20,PAMPLONA,Cuenca de Pamplona,Rápida,"(40.465961, -3.6748816)"
ur000760,Domino´s Pizza,Restaurantes,Pizzeria,Sangüesa 2,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.5767441, -1.2851532)"
ur000418,Don Manolo,Restaurantes,Sin definir,Sancho el Fuerte 77,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8110651, -1.6606122)"
UR000802,Don Menú,Restaurantes,Tercera/1 tenedor,Paseo de la Inmaculada 70,ESTELLA,Zona Media,Casera o regional,"(42.67200950000001, -2.0341945)"
UR000048,Don Pelayo,Restaurantes,Sin definir,Monjardín 16,PAMPLONA,Cuenca de Pamplona,No definida,"(30.1413043, -91.9830774)"
uc000016,Doven,Cafeterías,Segunda/1 Taza,Martín Azpilicueta 8,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8143941, -1.6632347)"
ur000697,Dragon,Restaurantes,Sin definir,Navarro Villoslada 2,PAMPLONA,Cuenca de Pamplona,Internacional,"(43.2768278, -2.9610976)"
uc000088,Ducal,Cafeterías,Segunda/1 Taza,Av. de Carlos III el Noble Etorbidea 39,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8127453, -1.6384097)"
UR000384,El Abuelo,Restaurantes,Sin definir,Puente la Reina 3,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.6723037, -1.8135943)"
uc000110,El Alivio,Cafeterías,Segunda/1 Taza,de Ermitagaña 2 Bajo,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8107722, -1.6633601)"
uc000168,El Bosquecillo,Cafeterías,Segunda/1 Taza,Calle Taconera 5,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8164944, -1.6494412)"
UC000172,El Café de Baluarte,Cafeterías,Segunda/1 Taza,"Plaza del Baluarte, s/n ",PAMPLONA,Cuenca de Pamplona,No definida,"(42.8131578, -1.6461989)"
UR000929,El Café de Felisa,Restaurantes,Sin definir,Felisa Munárriz 1,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8072071, -1.6437995)"
UR001002,El Chupinazo,Restaurantes,Tercera/1 tenedor,Calle de la Estafeta 85,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.816221, -1.6412008)"
UR000877,El Embrujo,Restaurantes,Primera/3 tenedores,"Padre Calatayud, 16-18 0",PAMPLONA,Cuenca de Pamplona,De autor,"(42.8102056, -1.6415008)"
